Index,Description,Label
5.0,এখন বুঝলাম কেন তোদের কে জবাই করে.....,Threat
39.0,প্রধানমন্ত্রী হক সাহেবের ক্ষতি হলে জাতির স্বার্থে কেনো কোনো বাম পক্ষ কে ছাড় দেয়ার উচিত না,Threat
126.0,"Anyways, now I wear overalls, practice yoga, and don’t eat meat, so no, I’m not the same girl that bullied you in high school. I have evolved.",Threat
127.0,If u n school right now then fuck ya life wit a Q tip dick,Threat
128.0,Apparently his followers think that’s what tough looks like. It come from being a bully in school.,Threat
129.0,"Leave him alone, all the bullies - people who are so critical remind me of high school.",Threat
130.0,"they're that nerd from high school who somehow got along with everyone, even the bullies because they're just that loveable",Threat
131.0,haha I always say that! Girl or not  I too can rock out with my cock out! Hah,Threat
132.0,you own a gun? remind me not to piss you off anymore.,Threat
133.0,damn you hater!  lol,Threat
134.0,fuck u and ur fucking break =/,Threat
136.0,I hate you so much you stupid New York... douche. bagel.,Threat
137.0,I wish I could punch you square in the face. that's how much I hate you right now.,Threat
392.0,ওকে গুলি কোরে মার,Threat
400.0,FIRE HIM!!!!!!  lol lame ass mofo....,Threat
503.0,এমডি শাহিন মজুমদার কিছু কর তাম না,Threat
517.0,ওর ফাঁসি চাই,Threat
548.0,ওভার অ্যাক্টিং ভালো না আলম।,Threat
549.0,আমার মনে হয় হিরো আলম কে একটা চবি বানানো দরকার কারণ হিরো আলমের জুতা মোচার জন্য জাহিদ ভাইকে দরকার,Threat
550.0,পাকিস্তানের জনগণকে মেরে উপযুক্ত জবাব দাও তালেবান এর মত একশটাকে মেরে ফেলে চিতায় জ্বলিয়ে দিও ।,Threat
551.0,জুতা মারা দরকার এই সব নাম দারি মুসলিম গুলাকে.....,Threat
552.0,"এই ধরনের যারা ভিডিও করে, তাদের কে জান্ত পুড়িয়ে মারা উচিৎ ",Threat
554.0,"তুমি মিয়া আগে তোমার প্রতিষ্ঠানের কর্মচারীদের বেতন পরিশোধ কর। আগে নিজের চরকায় তেল দেও,,,,",Threat
